Estado / Canal,Ciudad,latitud,longitud,Tienda,dic-22,nov-22,oct-22,sep-22,ago-22,jul-22,jun-22,may-22,abr-22,mar-22,feb-22,ene-22
CHIHUAHUA                ,CD JUAREZ      ,31.7390805,-106.6298246,15,6289.91,6286.86,6286.86,6286.86,6291.43,5814.17,6286.86,15430.80969,15525.4073,14284.9273,14283.4073,16847.99927
SINALOA                  ,CULIACAN       ,24.8084179,-107.4003212,16,9449.1,9467.88,9449.1,9449.1,9449.1,8976.41,9449.1,10268.1,9392.35,7490.1,7490.1,8688.516
SINALOA                  ,CULIACAN       ,24.8062124,-107.3982179,17,6949.82,6949.82,6949.82,6169.82,6169.82,6477.13,6949.82,7049.15,5999.09,5286.97,5284.75,6132.0732
SINALOA                  ,CULIACAN       ,24.8001665,-107.3989983,18,11668.38,11666.86,11668.38,11152.96,8425.26,11194.17,11668.38,5807.51,5026.1,4549.91,4551.43,5621.3368
SINALOA                  ,CULIACAN       ,24.7942375,-107.4158336,19,12410.86,12410.86,11819.56,7960.86,7960.86,11938.17,11819.56,10254.06,10515.46,10150.86,10150.86,11774.9976
SINALOA                  ,NAVOLATO       ,24.7673792,-107.6986205,20,26315.59,26315.59,22265.59,22265.59,22265.59,25842.9,22265.59,22073.19,22265.59,22491.76,22266.76,26068.1812
SINALOA                  ,GUASAVE        ,25.563623,-108.4678648,21,23733.11,23731.59,23731.59,22962.26,22957.69,23258.9,23731.59,23449.09,10015.84,23618.77,23623.35,27644.9576
SINALOA                  ,GUAMUCHIL      ,25.4600386,-108.093663,22,38953.7645,38949.1845,38953.7645,31491.38,36227.4345,38471.9245,38953.7645,32079.8145,32470.7145,32246.2345,33233.9345,36680.36522
SONORA                   ,CD OBREGON     ,27.4794962,-109.9605164,23,31074.59,31074.59,25404.59,24364.59,24364.59,30601.9,25404.59,25019.79,24463.91,22748.59,22748.59,26624.9348
SINALOA                  ,CULIACAN       ,24.815394,-107.370934,24,9464.03,9464.03,9464.03,8425.55,8424.03,7316.61,9464.03,9032.58,7655.03,7411.03,7411.03,8152.0972
SONORA                   ,CD OBREGON     ,27.4794962,-109.9605164,25,13449.91,13449.91,13449.91,12409.91,10951.91,12977.22,13449.91,9825.11,9842.08,9364.43,9367.48,10860.9756
SINALOA                  ,CULIACAN       ,24.8002156,-107.399269,26,13738.67,13738.65,11454.45,7578.67,7578.65,13265.98,11454.45,8084.11,6466.65,6222.67,6222.65,7220.8724
SINALOA                  ,MAZATLAN       ,23.2022185,-106.4213699,27,17499.91,17499.91,17499.91,12377.51,11599.91,17027.22,17499.91,12255.11,12639.91,11358.75,9983.91,11581.3356
SINALOA                  ,LOS MOCHIS     ,29.078335,-110.9548622,28,21974.91,11569.91,21974.91,21204.06,21205.58,8201.066,21974.91,21709.18,20886.66,19950.87,19941.73,23441.8832
SONORA                   ,HERMOSILLO     ,25.7934781,-108.9965683,29,22591.43,22589.91,22589.91,20509.91,20509.91,22117.22,22589.91,17599.31,18478.48,17647.91,22483.16,13748.2156
SINALOA                  ,LOS MOCHIS     ,29.0809226,-110.961262,30,22979.4573,22979.4573,27745.9546,21679.4573,21679.4573,22506.7673,27745.9546,22498.4573,22979.4573,22735.4573,22735.4573,26373.13047
SONORA                   ,HERMOSILLO     ,23.2040897,-106.421742,31,27547.64,27550.69,27546.11,25984.59,25986.11,27071.9,27546.11,26981.11,25554.69,23684.11,23682.59,27737.7576
SINALOA                  ,MAZATLAN       ,32.6591945,-115.5013476,32,24198.59,24198.59,24198.59,23158.59,23160.11,23725.9,24198.59,23813.79,24198.59,23484.25,22748.59,26702.5968
BAJA CALIFORNIA NORTE    ,MEXICALI       ,21.9504657,-105.1442999,33,15231.98,15231.98,19998.4773,10644.98,59356.49,14759.29,19998.4773,59849.41,60138.01,58861.36,58083.49,67376.8484
NAYARIT                  ,TEPIC          ,27.9253038,-110.9018642,34,19165.81,18189.91,18191.43,16889.91,16889.91,17717.22,18191.43,17711.96,18191.43,15141.96,15065.31,17794.7596
SONORA                   ,GUAYMAS        ,24.0256984,-104.6673924,35,28736.35,28718.05,28718.05,26647.2,26639.58,28240.79,28718.05,27959.12,10683.3,25007.06,25023.82,29114.1788
DURANGO                  ,DURANGO        ,32.4836465,-114.8431866,36,27834.59,27834.59,27834.59,26796.11,25224.59,27361.9,27834.59,25024.36,25410.69,23351.59,22748.59,26626.698
SONORA                   ,SAN LUIS RIO CO,21.5159476,-104.8915279,37,23166.66,23166.66,23166.66,23166.66,23166.66,22693.97,23166.66,23821.86,24206.66,23962.66,24166.6,28033.256
NAYARIT                  ,TEPIC          ,31.3007383,-111.0834074,38,11420.06,11413.96,11169.96,11166.91,11166.91,10938.22,11169.96,12161.91,12761.97,11849.85,10924.01,13024.4452
SONORA                   ,NOGALES        ,25.5353735,-103.4667444,39,22969.59,22969.59,22969.59,22969.59,22969.59,22496.9,22969.59,23952.39,24258.24,23682.59,23682.59,27471.8044
COAHUILA                 ,TORREON        ,27.0748895,-109.5260167,40,20577.57,20565.37,20577.57,19526.9,15025.37,20091.16,20577.57,12440.57,12825.37,11811.06,14017.86451,21130.30352
SONORA                   ,NAVOJOA        ,32.6591945,-115.5013476,41,23264.59,23264.59,23264.59,22744.59,22744.59,22791.9,23264.59,22915.41,22058.59,21814.59,21819.75,25619.1568
BAJA CALIFORNIA NORTE    ,MEXICALI       ,23.2447749,-106.4211913,42,10358.55,10358.53,10114.53,10114.56,10114.53,9885.84,10114.53,10769.73,20425.6173,18952.7573,18012.0973,20894.00967
SINALOA                  ,MAZATLAN       ,30.7121757,-113.3026886,43,22529.91,22531.43,15597.74,14817.74,14817.74,22057.22,15597.74,15309.14,15597.74,14829.13,13544.74,16042.046
SONORA                   ,CABORCA        ,29.0969021,-111.044266,44,26398.59,31700.11,26398.59,26398.59,26398.59,31225.9,26398.59,27708.99,24969.13,24616.59,24616.59,28869.4768
SONORA                   ,HERMOSILLO     ,25.5489033,-103.4433482,45,14607.68,14607.68,14607.68,12796.83,12787.68,14134.99,14607.68,13934.28,13932.32,10146.43,10142.68,11765.5088
DURANGO                  ,GOMEZ PALACIO  ,27.4784161,-109.9389242,46,23110.89,23083.45,23074.3,21783.45,21024.14,22577.22,23074.3,17750.07,18250.89,17114.24,15177.53,17729.4748
SONORA                   ,CD OBREGON     ,25.4346263,-101.0065264,47,16593.5,16591.98,10111.98,9591.98,9591.98,16119.29,10111.98,9919.58,8978.34,8661.98,8661.98,10047.8968
