Estado / Canal,Ciudad,coordenadas,Tienda,dic-22,nov-22,oct-22,sep-22,ago-22,jul-22,jun-22,may-22,abr-22,mar-22,feb-22,ene-22
CHIHUAHUA                ,CD JUAREZ      ,"31.7390805,-106.6298246,12",15,50612000,33852000,27367000,24830000,26913000,29797000,27891000,28283000,26712000,24351000,21560000,18578000
SINALOA                  ,CULIACAN       ,"24.8084179,-107.4003212,17.5",16,54774000,31854000,25127000,23145000,25571000,24785000,23280000,27140000,24207000,22068000,18115000,16860000
SINALOA                  ,CULIACAN       ,"24.8062124,-107.3982179,18.25",17,30009000,13998000,10266000,9812000,11010000,10524000,10918000,13824000,15537000,14139000,13066000,10828000
SINALOA                  ,CULIACAN       ,"24.8001665,-107.3989983,16.25",18,9870000,5972000,4686000,4414000,4645000,4284000,4335000,5155000,4265000,4805000,4070000,3540000
SINALOA                  ,CULIACAN       ,"24.7942375,-107.4158336,17.25",19,41301000,25055000,18477000,17959000,19315000,19977000,18835000,22606000,20126000,18598000,15395000,14475000
SINALOA                  ,NAVOLATO       ,"24.7673792,-107.6986205,18.75",20,41101000,23199000,17600000,15607000,18701000,19082000,17991000,19840000,19469000,17199000,15557000,13508000
SINALOA                  ,GUASAVE        ,"25.563623,-108.4678648,16.79",21,71575000,48773000,35543000,31428000,36435000,33723000,31292000,37252000,38270000,34436000,29055000,27724000
SINALOA                  ,GUAMUCHIL      ,"25.4600386,-108.093663,15.96",22,49490000,32028000,23881000,22182000,25585000,25240000,23320000,25665000,21643000,20727000,19658000,18511000
SONORA                   ,CD OBREGON     ,"27.4794962,-109.9605164,14.5",23,58180000,35470000,25683000,22697000,27466000,25327000,24804000,27061000,27194000,23576000,19926000,18564000
SINALOA                  ,CULIACAN       ,"24.815394,-107.370934,16.54",24,28279000,17747000,14841000,12922000,14299000,13735000,13424000,15732000,14599000,13354000,11729000,10832000
SONORA                   ,CD OBREGON     ,"27.4794962,-109.9605164,14.5",25,15635000,9685000,6912000,6158000,6977000,6548000,6512000,7550000,6722000,6289000,5785000,5398000
SINALOA                  ,CULIACAN       ,"24.8002156,-107.399269,16.25",26,21147000,12978000,11206000,10303000,10581000,10448000,10105000,11586000,10034000,9651000,8857000,8255000
SINALOA                  ,MAZATLAN       ,"23.2022185,-106.4213699,18.33",27,26284000,14553000,10498000,9838000,11926000,11234000,10670000,12113000,11099000,10552000,9302000,9438000
SONORA                   ,HERMOSILLO     ,"29.078335,-110.9548622,17.75",28,30072000,17867000,14865000,12976000,15382000,14187000,13034000,14917000,13589000,12101000,8394000,7948000
SINALOA                  ,LOS MOCHIS     ,"25.7934781,-108.9965683,18.29",29,43714000,30733000,22653000,19304000,18020000,13044000,11656000,12200000,12418000,10497000,9651000,8389000
SONORA                   ,HERMOSILLO     ,"29.0809226,-110.961262,16",30,32998000,20487000,16809000,14945000,17399000,15699000,15271000,17405000,15612000,15771000,12289000,10680000
SINALOA                  ,MAZATLAN       ,"23.2040897,-106.421742,18.83",31,29612000,15351000,10139000,10328000,12628000,10697000,10652000,12004000,11704000,10558000,8828000,8051000
BAJA CALIFORNIA NORTE    ,MEXICALI       ,"32.6591945,-115.5013476,14",32,32775000,19688000,15192000,14138000,16897000,16782000,17197000,18108000,15478000,16255000,13405000,12397000
NAYARIT                  ,TEPIC          ,"21.9504657,-105.1442999,20",33,61115000,34585000,29424000,28409000,33626000,29840000,29619000,32607000,29075000,30181000,26904000,26440000
SONORA                   ,GUAYMAS        ,"27.9253038,-110.9018642,15.5",34,33377000,19429000,14259000,12332000,14139000,13597000,13156000,15712000,14276000,12836000,11294000,10444000
DURANGO                  ,DURANGO        ,"24.0256984,-104.6673924,20.5",35,52502000,30972000,24481000,24160000,27397000,26500000,24963000,29263000,23976000,24248000,20849000,18843000
SONORA                   ,SAN LUIS RIO CO,"32.4836465,-114.8431866,13",36,32065000,19438000,16821000,14801000,16829000,17698000,16491000,18414000,16127000,16776000,14015000,13104000
NAYARIT                  ,TEPIC          ,"21.5159476,-104.8915279,20",37,27458000,19021000,16502000,15531000,18413000,16318000,14025000,15938000,14283000,14969000,12718000,13101000
SONORA                   ,NOGALES        ,"31.3007383,-111.0834074,12",38,32298000,21026000,16650000,14637000,17580000,16621000,15810000,17269000,16098000,15026000,12458000,11018000
COAHUILA                 ,TORREON        ,"25.5353735,-103.4667444,18.38",39,49066000,30019000,21977000,20389000,22932000,25306000,22180000,25337000,22118000,20598000,18024000,17780000
SONORA                   ,NAVOJOA        ,"27.0748895,-109.5260167,13",40,36823000,20345000,16876000,14473000,17155000,17250000,15805000,18231000,18354000,16078000,13348000,12367000
BAJA CALIFORNIA NORTE    ,MEXICALI       ,"32.6591945,-115.5013476,14",41,49343000,29593000,22695000,19915000,22943000,23240000,21872000,23369000,21679000,21774000,17622000,15035000
SINALOA                  ,MAZATLAN       ,"23.2447749,-106.4211913,18.17",42,44606000,28211000,21500000,19853000,23270000,22121000,20789000,23925000,22639000,19877000,18455000,17781000
